"행정구역별(시군구)","가구주의 연령",2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시군구)","가구주의 연령",일반가구,가구원수 1명,가구원수 2명,가구원수 3명,가구원수 4명,가구원수 5명,가구원수 6명,가구원수 7명 이상,평균 가구원수
"인천광역시","50~54세",147431,31782,35030,39520,33111,6723,1043,222,2.7
"인천광역시","55~59세",140396,31987,40756,37445,25119,4355,596,138,2.5
"인천광역시","60~64세",143543,37758,53791,33950,15143,2311,480,110,2.3
"인천광역시","65~69세",97050,30340,42688,17463,5104,1033,329,93,2
"인천광역시","70~74세",63812,21407,29761,9194,2419,680,263,88,1.9
"인천광역시","75~79세",46512,17349,20845,6029,1534,476,211,68,1.9
"인천광역시","80~84세",32654,14287,13032,3725,1039,389,145,37,1.8
"인천광역시","85세 이상",19443,10324,6524,1759,555,195,66,20,1.7
"광주광역시","합계",623252,221464,172602,114340,89707,21141,3272,726,2.2
"광주광역시","15세미만",X,X,X,X,X,X,X,X,2
"광주광역시","15~19세",1959,1808,120,24,5,X,X,X,1.1
"광주광역시","20~24세",21097,17654,2475,666,256,41,X,X,1.2
"광주광역시","25~29세",38886,28028,7189,2570,924,143,24,8,1.4
"광주광역시","30~34세",41782,22296,9337,6300,3211,534,81,23,1.8
"광주광역시","35~39세",48075,16207,8288,10612,10345,2223,321,79,2.5
"광주광역시","40~44세",62890,15873,9068,13344,18897,4856,715,137,2.8
"광주광역시","45~49세",67507,15323,11611,14988,19633,5090,721,141,2.9
"광주광역시","50~54세",76385,17476,18269,19418,16656,3923,544,99,2.7
"광주광역시","55~59세",67415,16923,21212,16824,9963,2143,289,61,2.4
"광주광역시","60~64세",63980,18906,25499,12958,5381,1005,182,49,2.1
"광주광역시","65~69세",44173,14909,19927,6832,1912,414,139,40,1.9
"광주광역시","70~74세",33765,11853,16169,4270,1037,298,98,40,1.9
"광주광역시","75~79세",25188,9679,11614,2800,764,224,83,24,1.8
"광주광역시","80~84세",19440,8702,8137,1891,472,173,46,19,1.7
"광주광역시","85세 이상",10708,5827,3685,843,251,72,25,5,1.6
"대전광역시","합계",646474,249006,175151,115255,84474,18688,3188,712,2.2
"대전광역시","15세미만",X,X,X,X,X,X,X,X,1
"대전광역시","15~19세",3992,3890,82,15,5,X,X,X,1
"대전광역시","20~24세",34367,31332,2317,506,191,18,X,X,1.1
"대전광역시","25~29세",49086,38444,7371,2285,834,121,22,9,1.3
"대전광역시","30~34세",48224,26840,10731,6831,3180,538,82,22,1.8
"대전광역시","35~39세",47996,16396,8449,10805,9951,1986,331,78,2.5
"대전광역시","40~44세",58935,14754,8688,12760,17609,4284,711,129,2.8
"대전광역시","45~49세",63388,14452,10754,14685,17985,4623,750,139,2.8
"대전광역시","50~54세",74279,17001,17821,19683,15852,3311,505,106,2.6
"대전광역시","55~59세",64475,16108,20699,16505,9226,1691,200,46,2.4
"대전광역시","60~64세",66515,19411,26991,13879,5148,880,166,40,2.1
"대전광역시","65~69세",49156,16085,22819,7616,2022,431,128,55,2
"대전광역시","70~74세",33691,11670,16342,4198,1022,316,112,31,1.9
"대전광역시","75~79세",23710,8960,10993,2773,656,226,82,20,1.8
"대전광역시","80~84세",18133,7960,7562,1811,531,172,73,24,1.8
"대전광역시","85세 이상",10526,5702,3532,903,262,91,23,13,1.6
"울산광역시","합계",453998,137096,132727,97651,71151,12978,1998,397,2.3
"울산광역시","15세미만",X,X,X,X,X,X,X,X,1.7
"울산광역시","15~19세",385,327,47,7,X,X,X,X,1.2
"울산광역시","20~24세",6251,5123,795,242,84,5,X,X,1.2
"울산광역시","25~29세",19691,14171,3567,1379,495,66,10,X,1.4
"울산광역시","30~34세",28237,13177,6576,5442,2637,334,56,15,2
"울산광역시","35~39세",35079,9757,5472,9173,8997,1452,187,41,2.6
"울산광역시","40~44세",47454,10476,5831,10882,16325,3436,435,69,3
"울산광역시","45~49세",47687,10508,7872,11456,14276,3098,413,64,2.9
"울산광역시","50~54세",57266,12556,14160,16317,11926,1977,279,51,2.6
"울산광역시","55~59세",58117,12509,18771,16682,8804,1171,156,24,2.4
"울산광역시","60~64세",56793,14525,24141,13007,4341,607,135,37,2.2
"울산광역시","65~69세",39675,12042,19316,6345,1547,306,93,26,2
"울산광역시","70~74세",25859,8458,12992,3325,764,201,95,24,1.9
"울산광역시","75~79세",15765,5881,7304,1859,478,154,67,22,1.9
"울산광역시","80~84세",10536,4685,4267,1084,314,120,53,13,1.8
"울산광역시","85세 이상",5200,2900,1614,451,160,50,17,8,1.6
"세종특별자치시","합계",154019,50561,37708,30754,27481,6360,931,224,2.4
"세종특별자치시","15세미만",X,X,X,X,X,X,X,X,0
"세종특별자치시","15~19세",839,813,22,X,X,X,X,X,1
"세종특별자치시","20~24세",6486,5999,333,105,36,12,X,X,1.1
"세종특별자치시","25~29세",10421,7960,1608,617,192,36,8,X,1.3
"세종특별자치시","30~34세",14964,7446,3295,2650,1296,231,32,14,1.9
"세종특별자치시","35~39세",18005,4625,2841,4825,4667,904,123,20,2.7
"세종특별자치시","40~44세",22189,3956,2511,5300,8026,2072,258,66,3.1
"세종특별자치시","45~49세",19433,3376,2843,4684,6614,1645,230,41,3.1
"세종특별자치시","50~54세",17334,3517,4224,4804,3800,856,108,25,2.7
"세종특별자치시","55~59세",12345,2842,4547,3125,1500,267,51,13,2.4
"세종특별자치시","60~64세",11224,2908,5278,2162,694,140,32,10,2.1
"세종특별자치시","65~69세",7961,2323,4181,1053,287,70,35,12,2
"세종특별자치시","70~74세",5181,1597,2767,604,140,43,19,11,1.9
"세종특별자치시","75~79세",3325,1208,1624,351,89,36,14,X,1.8
"세종특별자치시","80~84세",2658,1141,1079,302,92,27,11,6,1.8
"세종특별자치시","85세 이상",1654,850,555,168,48,21,10,X,1.7
"경기도","합계",5406963,1634147,1480862,1152760,898218,196621,35559,8796,2.4
"경기도","15세미만",40,16,19,5,X,X,X,X,1.7
"경기도","15~19세",9571,8812,603,105,34,16,X,X,1.1
"경기도","20~24세",97823,79028,12727,4018,1693,317,31,9,1.3
"경기도","25~29세",283587,194790,57701,20975,8426,1362,266,67,1.5
"경기도","30~34세",403919,190217,106326,68954,31778,5391,980,273,1.9
"경기도","35~39세",469258,133772,91970,120238,99098,19874,3447,859,2.6
"경기도","40~44세",592343,127857,89821,141801,180500,43206,7390,1768,2.9
"경기도","45~49세",603479,122445,102419,143898,181105,44579,7439,1594,2.9
"경기도","50~54세",681815,137570,150124,185210,166131,35875,5725,1180,2.8
"경기도","55~59세",603713,130022,168410,163406,116701,21264,3220,690,2.6
"경기도","60~64세",581962,145258,216625,140621,65516,11278,2098,566,2.3
"경기도","65~69세",398200,117335,177889,73589,22412,4877,1553,545,2.1
"경기도","70~74세",260791,82941,125017,38075,9983,3059,1273,443,2
"경기도","75~79세",194804,67295,90838,25835,6942,2493,1029,372,1.9
"경기도","80~84세",142532,56989,60594,17069,4939,1883,757,301,1.9
"경기도","85세 이상",83126,39800,29779,8961,2960,1147,351,128,1.8
"강원도","합계",684895,254441,219958,115248,72817,17876,3536,1019,2.1
"강원도","15세미만",5,X,X,X,X,X,X,X,1.8
"강원도","15~19세",1756,1631,94,22,7,X,X,X,1.1
"강원도","20~24세",20793,18422,1648,489,208,22,X,X,1.2
"강원도","25~29세",31453,22521,5494,2301,933,175,23,6,1.4
"강원도","30~34세",35785,17243,8186,6004,3553,656,114,29,2
"강원도","35~39세",39650,11906,7349,8988,8930,2026,358,93,2.6
"강원도","40~44세",52572,12943,8908,11275,14576,4048,664,158,2.8
"강원도","45~49세",59790,14884,12623,13527,14153,3808,643,152,2.7
"강원도","50~54세",74176,20006,20981,17966,11871,2762,483,107,2.4
"강원도","55~59세",74005,22772,25869,15901,7582,1513,289,79,2.2
"강원도","60~64세",86767,28763,36686,14905,5071,1004,247,91,2
"강원도","65~69세",68413,23999,31796,9473,2275,568,219,83,1.9
"강원도","70~74세",45657,17078,21631,5209,1149,356,163,71,1.8
"강원도","75~79세",40119,15829,18513,4187,1017,379,133,61,1.8
"강원도","80~84세",33547,15379,13551,3174,901,352,131,59,1.7
"강원도","85세 이상",20407,11064,6625,1827,591,205,67,28,1.7
"충청북도","합계",704864,260948,214022,121056,83406,20629,3759,1044,2.2
"충청북도","15세미만",5,X,X,X,X,X,X,X,2
"충청북도","15~19세",2054,1946,88,13,5,X,X,X,1.1
"충청북도","20~24세",20181,17565,1814,550,206,37,8,X,1.2
"충청북도","25~29세",40641,29960,6794,2689,1004,171,19,X,1.4
"충청북도","30~34세",45534,23588,9757,7242,4071,743,100,33,1.9
"충청북도","35~39세",49140,15742,8332,10832,11183,2557,405,89,2.6
"충청북도","40~44세",60721,15163,9225,12492,17768,5021,856,196,2.9
"충청북도","45~49세",65531,15880,12738,14814,16519,4634,748,198,2.8
"충청북도","50~54세",77763,20140,20592,19314,13896,3189,513,119,2.5
"충청북도","55~59세",75179,21806,25647,17104,8617,1657,275,73,2.3
"충청북도","60~64세",82599,25782,35658,14942,4976,966,194,81,2
"충청북도","65~69세",62381,20951,30091,8548,2042,487,188,74,1.9
"충청북도","70~74세",42406,14792,21035,4879,1130,368,146,56,1.9
"충청북도","75~79세",33080,13375,15095,3320,802,316,126,46,1.8
"충청북도","80~84세",28905,13665,11288,2753,712,322,116,49,1.7
"충청북도","85세 이상",18744,10592,5865,1563,475,159,65,25,1.6
"충청남도","합계",931370,340741,284304,159362,111851,28246,5420,1446,2.2
"충청남도","15세미만",7,5,X,X,X,X,X,X,1.3
"충청남도","15~19세",3580,3404,140,23,10,X,X,X,1.1
"충청남도","20~24세",27674,23999,2523,787,292,62,9,X,1.2
"충청남도","25~29세",47768,34523,8434,3248,1287,220,44,12,1.4
"충청남도","30~34세",59167,29871,12955,9713,5457,958,160,53,1.9
"충청남도","35~39세",68822,22277,11571,15168,15580,3563,537,126,2.5
"충청남도","40~44세",86650,21353,12857,18012,25891,7135,1149,253,2.9
"충청남도","45~49세",88242,21465,17382,19756,22216,6168,1026,229,2.8
"충청남도","50~54세",99823,25668,27298,24444,17347,4162,732,172,2.5
"충청남도","55~59세",92795,27101,32175,20626,10265,2156,379,93,2.2
"충청남도","60~64세",101151,31877,43363,18191,6085,1253,301,81,2
"충청남도","65~69세",76422,25653,36592,10461,2618,685,290,123,1.9
"충청남도","70~74세",60139,20590,29864,7134,1583,594,268,106,1.9
"충청남도","75~79세",45955,17599,21607,4848,1183,441,201,76,1.8
"충청남도","80~84세",41959,18880,17080,4097,1138,494,185,85,1.8
"충청남도","85세 이상",31216,16476,10461,2854,899,352,139,35,1.7
"전라북도","합계",777680,284613,245506,130358,87440,23701,4730,1332,2.2
"전라북도","15세미만",X,X,X,X,X,X,X,X,1.5
"전라북도","15~19세",2767,2581,143,33,8,X,X,X,1.1
"전라북도","20~24세",23442,20185,2284,684,242,39,X,X,1.2
"전라북도","25~29세",34391,24560,6109,2520,973,197,23,9,1.4
"전라북도","30~34세",37904,19422,8336,5854,3421,695,131,45,1.9
"전라북도","35~39세",45110,14203,7863,9890,9998,2545,486,125,2.6
"전라북도","40~44세",61775,14931,9561,13027,17656,5345,1001,254,2.9
"전라북도","45~49세",72081,17249,14449,15978,17724,5450,995,236,2.8
"전라북도","50~54세",85929,21343,23541,20844,15322,4004,706,169,2.5
"전라북도","55~59세",82259,23030,28655,18309,9604,2177,381,103,2.3
"전라북도","60~64세",88652,27267,37943,16082,5799,1212,275,74,2.1
"전라북도","65~69세",69304,23628,32479,9737,2560,635,178,87,1.9
"전라북도","70~74세",57447,20877,27460,6802,1558,491,187,72,1.9
"전라북도","75~79세",46323,18701,21096,4752,1151,390,167,66,1.8
"전라북도","80~84세",41698,20140,16556,3651,855,320,117,59,1.7
"전라북도","85세 이상",28596,16495,9030,2195,569,199,79,29,1.6
"전라남도","합계",784645,283429,262746,128459,81468,22548,4584,1411,2.1
"전라남도","15세미만",X,X,X,X,X,X,X,X,2
"전라남도","15~19세",1489,1242,183,43,17,X,X,X,1.2
"전라남도","20~24세",12975,9920,1984,750,283,34,X,X,1.3
"전라남도","25~29세",29072,19095,6107,2580,1067,189,26,8,1.5
"전라남도","30~34세",34829,16104,8009,6101,3652,804,119,40,2
"전라남도","35~39세",43822,12792,7680,9609,10471,2642,485,143,2.6
"전라남도","40~44세",60430,14330,9880,12371,17261,5451,898,239,2.9
"전라남도","45~49세",67090,16507,14673,14781,15228,4752,899,250,2.7
"전라남도","50~54세",83840,21984,24936,19783,12861,3452,647,177,2.4
"전라남도","55~59세",86514,24936,31878,18467,8759,1976,399,99,2.2
"전라남도","60~64세",92423,29188,40856,15716,5097,1154,301,111,2
"전라남도","65~69세",70527,24882,33181,9177,2339,638,221,89,1.9
"전라남도","70~74세",62877,23156,30296,7056,1573,494,214,88,1.8
"전라남도","75~79세",53244,22904,23348,5183,1185,387,165,72,1.8
"전라남도","80~84세",51319,25935,19571,4240,1016,355,135,67,1.7
"전라남도","85세 이상",34190,20454,10160,2602,659,216,73,26,1.5
"경상북도","합계",1166306,430969,381459,196804,122993,27752,5009,1320,2.1
"경상북도","15세미만",8,X,X,X,X,X,X,X,1.5
"경상북도","15~19세",3537,3360,143,25,6,X,X,X,1.1
"경상북도","20~24세",30334,26795,2548,720,243,24,X,X,1.2
"경상북도","25~29세",47271,34709,8079,3144,1154,152,28,5,1.4
"경상북도","30~34세",57236,29109,12513,9623,5030,835,94,32,1.9
"경상북도","35~39세",69952,22365,12111,16064,15474,3324,503,111,2.5
"경상북도","40~44세",92480,23684,13949,19769,27169,6684,1013,212,2.8
"경상북도","45~49세",100579,25743,20259,22744,24527,6096,985,225,2.7
"경상북도","50~54세",123642,32391,35738,30961,19695,4103,601,153,2.4
"경상북도","55~59세",126551,36095,46550,28564,12655,2239,366,82,2.2
"경상북도","60~64세",142337,44054,63395,25541,7570,1347,334,96,2
"경상북도","65~69세",113974,38648,55516,14961,3574,905,268,102,1.9
"경상북도","70~74세",90246,32753,44306,9865,2144,751,315,112,1.8
"경상북도","75~79세",65668,26988,29853,6534,1464,520,223,86,1.8
"경상북도","80~84세",61354,30208,23878,5193,1363,454,186,72,1.7
